Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Sound Setup,11/15/2026,6:30 PM,,,False,,,False
Move-In,11/23/2026,8:00 AM,11/23/2026,5:00 PM,False,"Location: Poulsbo Middle School, 18360 Caldart Ave NE, Poulsbo, WA 98370","Poulsbo Middle School, 18360 Caldart Ave NE, Poulsbo, WA 98370",False
Move-Out,12/13/2026,8:00 PM,12/13/2026,10:00 PM,False,"Location: Poulsbo Middle School, 18360 Caldart Ave NE, Poulsbo, WA 98370","Poulsbo Middle School, 18360 Caldart Ave NE, Poulsbo, WA 98370",False
